#time(sec):	Om (Hz)	tswh0:	tswh1:	tswh2:	tswh3:	tswh4:	tswh5:	tswh6:	tswh7:	tswm0:	tswm1:	tswm2:	tswm3:	tswm4:	tswm5:	tswm6:	tswm7:	tswl0:	tswl1:	tswl2:	tswl3:	tswl4:	tswl5:	tswl6:	tswl7:
214.2	0.0140	40.0777	40.0806	40.2911	40.3233	40.3196	40.3036	40.0477	40.0934	40.2722	40.2293	40.2884	40.3845	40.4241	40.4028	40.2825	40.2200	40.4301	40.5691	40.4949	40.5148	40.4730	40.4692	40.4121	40.5102
217.7	0.0140	40.0665	40.0745	40.2889	40.3220	40.3183	40.3036	40.0383	40.0969	40.2746	40.2241	40.2857	40.3832	40.4228	40.4049	40.2805	40.2252	40.4287	40.5702	40.4824	40.5113	40.4670	40.4887	40.4247	40.5260
221.1	0.0140	40.0578	40.0708	40.2889	40.3220	40.3171	40.3036	40.0265	40.1016	40.2833	40.2178	40.2804	40.3791	40.4202	40.4028	40.2805	40.2265	40.4315	40.5656	40.4736	40.5077	40.4634	40.5137	40.4412	40.5353
224.7	0.0140	40.0504	40.0720	40.2900	40.3206	40.3171	40.3046	40.0171	40.1016	40.2907	40.2105	40.2791	40.3764	40.4189	40.4049	40.2763	40.2318	40.4343	40.5599	40.4662	40.5054	40.4682	40.5401	40.4602	40.5525
228.1	0.0140	40.0405	40.0732	40.2834	40.3206	40.3171	40.3057	40.0100	40.0899	40.2980	40.2053	40.2791	40.3710	40.4138	40.4069	40.2763	40.2344	40.4386	40.5565	40.4662	40.5006	40.4706	40.5652	40.4767	40.5657
231.5	0.0140	40.0293	40.0757	40.2691	40.3206	40.3220	40.3101	39.9971	40.0794	40.3067	40.2001	40.2778	40.3642	40.4125	40.4090	40.2784	40.2370	40.4414	40.5496	40.4574	40.4959	40.4706	40.5749	40.4919	40.5565
235.0	0.0140	40.0219	40.0757	40.2526	40.3193	40.3245	40.3112	39.9936	40.0724	40.3067	40.1970	40.2778	40.3615	40.4112	40.4172	40.2825	40.2384	40.4470	40.5358	40.4487	40.4888	40.4718	40.5861	40.4996	40.5379
238.4	0.0140	40.0133	40.0757	40.2395	40.3179	40.3245	40.3144	40.0042	40.0666	40.3030	40.1939	40.2751	40.3561	40.4099	40.4245	40.2898	40.2410	40.4513	40.5198	40.4412	40.4876	40.4730	40.5986	40.5085	40.5102
241.8	0.0140	40.0096	40.0769	40.2329	40.3139	40.3257	40.3166	40.0124	40.0724	40.2943	40.1887	40.2712	40.3534	40.4060	40.4348	40.3013	40.2410	40.4513	40.4992	40.4362	40.4959	40.4730	40.6126	40.5110	40.4891
245.2	0.0140	40.0071	40.0782	40.2318	40.3112	40.3257	40.3177	40.0218	40.0794	40.2833	40.1835	40.2685	40.3507	40.4073	40.4399	40.3148	40.2384	40.4527	40.4787	40.4288	40.4959	40.4826	40.6238	40.5148	40.4706
248.7	0.0140	40.0046	40.0843	40.2351	40.3059	40.3257	40.3155	40.0406	40.0899	40.2759	40.1793	40.2632	40.3467	40.4112	40.4451	40.3273	40.2318	40.4513	40.4524	40.4201	40.4971	40.4995	40.6238	40.5275	40.4587
252.4	0.0140	40.0096	40.0868	40.2340	40.3019	40.3294	40.3133	40.0748	40.1016	40.2673	40.1793	40.2632	40.3412	40.4112	40.4544	40.3419	40.2344	40.4470	40.4262	40.4188	40.5042	40.5116	40.6378	40.5479	40.4640
255.9	0.0140	40.0120	40.0806	40.2329	40.2965	40.3355	40.3101	40.1114	40.1085	40.2623	40.1741	40.2593	40.3331	40.4215	40.4616	40.3575	40.2331	40.4428	40.4091	40.4064	40.5054	40.5200	40.6546	40.5619	40.4772
259.5	0.0140	40.0157	40.0658	40.2209	40.2938	40.3502	40.3079	40.1433	40.1272	40.2586	40.1720	40.2473	40.3264	40.4241	40.4699	40.3721	40.2331	40.4386	40.4012	40.4002	40.5101	40.5309	40.6588	40.5759	40.4957
262.9	0.0140	40.0194	40.0548	40.2066	40.2871	40.3551	40.3057	40.1706	40.1424	40.2574	40.1679	40.2328	40.3196	40.4280	40.4802	40.3836	40.2370	40.4343	40.3898	40.4014	40.5160	40.5453	40.6573	40.5874	40.5036
266.3	0.0140	40.0182	40.0412	40.1869	40.2804	40.3502	40.3025	40.1966	40.1634	40.2574	40.1637	40.2183	40.3196	40.4319	40.4874	40.3972	40.2397	40.4259	40.3807	40.4014	40.5290	40.5695	40.6322	40.5989	40.5009
269.8	0.0140	40.0269	40.0289	40.1727	40.2724	40.3539	40.3046	40.2156	40.1821	40.2611	40.1554	40.2038	40.3223	40.4435	40.4864	40.4097	40.2489	40.4230	40.3716	40.3977	40.5432	40.6010	40.6210	40.6053	40.4930
273.2	0.0140	40.0417	40.0265	40.1585	40.2684	40.3551	40.3014	40.2311	40.2032	40.2611	40.1481	40.1959	40.3277	40.4539	40.4781	40.4202	40.2541	40.4202	40.3568	40.3939	40.5574	40.6010	40.6098	40.6091	40.4864
276.7	0.0140	40.0615	40.0326	40.1443	40.2711	40.3527	40.3003	40.2453	40.2219	40.2636	40.1408	40.1866	40.3331	40.4603	40.4699	40.4306	40.2607	40.4202	40.3591	40.3828	40.5717	40.5949	40.5931	40.6155	40.4864
280.3	0.0140	40.0826	40.0425	40.1400	40.2711	40.3588	40.2959	40.2513	40.2372	40.2709	40.1388	40.1748	40.3358	40.4590	40.4606	40.4348	40.2699	40.4188	40.3648	40.3778	40.5776	40.6082	40.5735	40.6142	40.5036
283.7	0.0140	40.1000	40.0511	40.1280	40.2697	40.3674	40.2927	40.2584	40.2501	40.2734	40.1398	40.1800	40.3345	40.4552	40.4533	40.4411	40.2765	40.4188	40.3614	40.3790	40.5776	40.6143	40.5666	40.6117	40.5115
287.1	0.0140	40.1161	40.0511	40.1106	40.2577	40.3772	40.2894	40.2679	40.2653	40.2796	40.1440	40.1840	40.3318	40.4539	40.4482	40.4432	40.2857	40.4174	40.3534	40.3828	40.5717	40.6095	40.5680	40.6066	40.5089
290.5	0.0140	40.1323	40.0535	40.0997	40.2323	40.3834	40.2883	40.2751	40.2771	40.2833	40.1502	40.1866	40.3318	40.4526	40.4440	40.4474	40.2923	40.4160	40.3489	40.3765	40.5705	40.6010	40.5596	40.6002	40.4957
